,0
"(u'friction', u'edg')",2
"(u',', u'said')",1
"(u'claim', u'29')",2
"(u'20', u'wherein')",4
"(u'defin', u'claim')",28
"(u'6', u'.')",1
"(u'direct', u'second')",2
"(u',', u'first')",2
"(u'compris', u'NH4OH/H')",1
"(u'speed', u'contact')",1
"(u'first', u'speed')",6
"(u'27', u'.')",1
"(u'wherein', u'clean')",1
"(u'time', u'rotat')",1
"(u'due', u'differ')",2
"(u'substrat', u'first')",1
"(u'.', u'12')",1
"(u'8', u'wherein')",4
"(u'compris', u'water')",2
"(u'.', u'31')",1
"(u'(', u'PVA')",3
"(u'roller', u'gener')",1
"(u'area', u'semiconductor')",2
"(u'second', u'speed')",5
"(u'compris', u'jet')",1
"(u'compris', u'abras')",4
"(u'said', u'least')",3
"(u'.', u'28')",1
"(u'particl', u'bevel')",2
"(u'4', u'.')",1
"(u'24', u'.')",1
"(u'1.5', u'time')",2
"(u'wherein', u'edg')",1
"(u'contact', u'side')",2
"(u'chemic', u'point')",1
"(u'.', u'17')",1
"(u'14', u'.')",1
"(u'facilit', u'edg')",2
"(u'roller', u'rotat')",5
"(u'13', u'.')",1
"(u'speed', u';')",1
"(u'propel', u'least')",1
"(u'22', u'.')",1
"(u'clean', u'said')",1
"(u'area', u',')",1
"(u'edg', u'abras')",2
"(u'26', u'.')",1
"(u'.', u'11')",1
"(u'claim', u'1')",4
"(u'18', u'compris')",2
"(u'9', u'.')",1
"(u'2', u'.')",2
"(u',', u'second')",2
"(u'mechan', u'edg')",2
"(u'.', u'14')",1
"(u'wherein', u'said')",2
"(u'water', u'jet')",2
"(u'poli', u'vinyl')",3
"(u'jet', u'propel')",3
"(u'NH4OH/H', u'2')",1
"(u'.', u'4')",1
"(u'~~', u'1')",1
"(u'speed', u'facilit')",2
"(u'area', u'contact')",1
"(u'.', u'22')",1
"(u'gener', u'friction')",1
"(u'differ', u'tangenti')",3
"(u'first', u'roller')",14
"(u'A', u'scrubber')",2
"(u'chemic', u'compris')",2
"(u'propel', u'water')",2
"(u'wafer', u'edg')",2
"(u'speed', u'faster')",2
"(u'wherein', u'rotat')",1
"(u'clear', u'edg')",1
"(u'faster', u'first')",1
"(u'edg', u'semiconductor')",5
"(u'configur', u'rotat')",4
"(u'speed', u'approxim')",1
"(u'apparatu', u'compris')",1
"(u',', u'edg')",1
"(u'materi', u'.')",5
"(u'semiconductor', u'substrat')",7
"(u'abras', u'materi')",17
"(u'approxim', u'1.5')",2
"(u'The', u'apparatu')",13
"(u':', u'first')",3
"(u'second', u'roller')",11
"(u'water', u'point')",1
"(u'clean', u'particl')",2
"(u'claim', u'4')",2
"(u'4', u'wherein')",2
"(u'10', u'.')",1
"(u'.', u'6')",1
"(u'.', u'13')",1
"(u'18', u'.')",1
"(u'wherein', u'semiconductor')",1
"(u'15', u'.')",1
"(u'claim', u'13')",4
"(u'clean', u'semiconductor')",4
"(u'compris', u'polyurethan')",3
"(u'O', u'2')",1
"(u'compris', u'poli')",3
"(u'edg', u'clean')",6
"(u')', u'.')",3
"(u'wafer', u'clean')",2
"(u'.', u'21')",1
"(u'substrat', u'second')",1
"(u'claim', u'5')",1
"(u'.', u'23')",1
"(u'31', u'.')",1
"(u'speed', u'second')",4
"(u'2', u'O')",1
"(u'4', u'OH')",1
"(u'.', u'10')",1
"(u'21', u'.')",1
"(u'speed', u'differ')",1
"(u'roller', u'clean')",2
"(u'compris', u'NH')",1
"(u'scrubber', u'scrub')",2
"(u'.', u'9')",1
"(u'rotat', u'semiconductor')",3
"(u'.', u'26')",1
"(u'compris', u'nylon')",3
"(u'roller', u'second')",1
"(u'PVA', u')')",3
"(u'wherein', u'abras')",11
"(u'one', u'bevel')",2
"(u'differ', u'first')",1
"(u'A', u'scrub')",1
"(u'.', u'15')",1
"(u'friction', u'differ')",1
"(u'wafer', u'.')",2
"(u'water', u'area')",1
"(u',', u'compris')",2
"(u'alcohol', u'(')",3
"(u'.', u'3')",1
"(u'3', u'.')",1
"(u'29', u'.')",1
"(u'7', u'.')",1
"(u'apparatu', u'clean')",1
"(u'clean', u'edg')",1
"(u'.', u'25')",1
"(u'speed', u'.')",2
"(u'.', u'30')",1
"(u'wherein', u'second')",4
"(u'.', u'18')",1
"(u'scrubber', u'defin')",15
"(u'.', u'2')",1
"(u'rotat', u'speed')",4
"(u'contact', u'edg')",1
"(u'pad', u'.')",2
"(u'16', u'.')",1
"(u'veloc', u'.')",1
"(u'18', u'wherein')",5
"(u'compris', u':')",3
"(u'one', u'chemic')",3
"(u'scrub', u'semiconductor')",3
"(u'19', u'.')",1
"(u'1', u'.')",1
"(u'8', u'.')",1
"(u'.', u'20')",1
"(u'wafer', u',')",3
"(u'5', u'.')",1
"(u'.', u'The')",28
